doi,date,downloads,unique_downloads,views,unique_views,version_downloads,version_unique_downloads,version_views,version_unique_views
10.5281/zenodo.1020671,2024-12-16,197,140,321,318,197,140,315,312
10.5281/zenodo.10949612,2024-12-16,62,49,13,12,62,49,13,12
10.5281/zenodo.6943413,2024-12-16,3037,1914,256,224,3026,1912,254,222
10.5281/zenodo.7061800,2024-12-16,952,548,220,196,952,548,220,196
10.5281/zenodo.5767451,2024-12-16,2985,1719,528,485,1523,622,358,326
10.5281/zenodo.1488094,2024-12-16,1503,700,411,392,1503,700,410,391
10.5281/zenodo.6992065,2024-12-16,945,483,225,196,945,483,224,195
10.5281/zenodo.3540513,2024-12-16,848,404,293,283,848,404,293,283
10.5281/zenodo.6992065,2024-12-16,945,483,225,196,945,483,224,195
10.5281/zenodo.3483789,2024-12-16,101,68,249,242,101,68,249,242
10.5281/zenodo.7061800,2024-12-16,952,548,220,196,952,548,220,196
10.5281/zenodo.259335,2024-12-16,1755,716,158,149,1755,716,158,149
10.5281/zenodo.7596011,2024-12-16,342,233,841,819,76,64,94,90
10.5281/zenodo.7103807,2024-12-16,512,336,194,174,512,336,194,174
10.5281/zenodo.1487895,2024-12-16,739,440,213,197,739,440,213,197
10.5281/zenodo.1009607,2024-12-16,1518,831,316,303,1518,831,315,302
10.5281/zenodo.259343,2024-12-16,528,359,239,235,528,359,238,234
10.5281/zenodo.1009027,2024-12-16,1619,494,448,381,1618,493,445,378
10.5281/zenodo.259343,2024-12-16,528,359,239,235,528,359,238,234
10.5281/zenodo.35193,2024-12-16,743,528,293,286,743,528,291,284
10.5281/zenodo.164206,2024-12-16,638,405,271,250,638,405,271,250
10.5281/zenodo.8386813,2024-12-16,183,141,93,91,176,139,91,89
10.5281/zenodo.7061800,2024-12-16,952,548,220,196,952,548,220,196
10.5281/zenodo.1009027,2024-12-16,1619,494,448,381,1618,493,445,378
10.5281/zenodo.3539263,2024-12-16,594,341,233,223,594,341,232,222
10.5281/zenodo.3335503,2024-12-16,5283,2404,1230,1169,2295,1185,604,553
10.5281/zenodo.6943086,2024-12-16,887,633,211,196,887,633,209,194
10.5281/zenodo.1129458,2024-12-16,162,108,304,301,162,108,303,300
10.5281/zenodo.1118980,2024-12-16,2841,1144,271,239,2841,1144,268,236
10.5281/zenodo.259343,2024-12-16,528,359,239,235,528,359,238,234
10.5281/zenodo.247386,2024-12-16,270,183,149,143,270,183,149,143
10.5281/zenodo.8370414,2024-12-16,288,169,89,80,156,69,37,32
10.5281/zenodo.5767451,2024-12-16,2985,1719,528,485,1523,622,358,326
10.5281/zenodo.1129419,2024-12-16,125,81,172,167,125,81,172,167
10.5281/zenodo.7022749,2024-12-16,1132,755,313,282,792,544,210,179
10.5281/zenodo.3335503,2024-12-16,5283,2404,1230,1169,2295,1185,604,553
10.5281/zenodo.30891,2024-12-16,207,147,239,231,207,147,239,231
10.5281/zenodo.1487895,2024-12-16,739,440,213,197,739,440,213,197
10.5281/zenodo.1293891,2024-12-16,117,78,167,159,117,78,167,159
10.5281/zenodo.546136,2024-12-16,83,61,175,172,83,61,175,172
10.5281/zenodo.164206,2024-12-16,638,405,271,250,638,405,271,250
10.5281/zenodo.1011096,2024-12-16,900,403,573,425,900,403,572,424
10.5281/zenodo.2653735,2024-12-16,662,465,216,203,662,465,215,202
10.5281/zenodo.3237461,2024-12-16,107,82,66,62,107,82,66,62
10.5281/zenodo.2653721,2024-12-16,1363,1068,153,141,1363,1068,153,141
10.5281/zenodo.6656031,2024-12-16,443,255,503,466,247,132,169,147
10.5281/zenodo.1129456,2024-12-16,143,94,244,235,143,94,244,235
10.5281/zenodo.2653721,2024-12-16,1363,1068,153,141,1363,1068,153,141
10.5281/zenodo.6778161,2024-12-16,28,25,178,176,28,25,178,176
10.5281/zenodo.838229,2024-12-16,186,146,146,141,186,146,146,141
10.5281/zenodo.164206,2024-12-16,638,405,271,250,638,405,271,250
10.5281/zenodo.1118980,2024-12-16,2841,1144,271,239,2841,1144,268,236
10.5281/zenodo.7022749,2024-12-16,1132,755,313,282,792,544,210,179
10.5281/zenodo.10783846,2024-12-16,59,36,29,27,59,36,29,27
10.5281/zenodo.1118980,2024-12-16,2841,1144,271,239,2841,1144,268,236
10.5281/zenodo.1010083,2024-12-16,946,347,423,399,765,287,305,284
10.5281/zenodo.10949663,2024-12-16,69,53,32,29,69,53,32,29
10.5281/zenodo.1288297,2024-12-16,413,210,328,303,413,210,328,303
10.5281/zenodo.545941,2024-12-16,238,128,291,264,238,128,291,264
10.5281/zenodo.13887,2024-12-16,77,65,353,341,77,65,353,341
10.5281/zenodo.6943413,2024-12-16,3037,1914,256,224,3026,1912,254,222
10.5281/zenodo.7572990,2024-12-16,842,720,294,277,840,719,293,276
10.5281/zenodo.16293,2024-12-16,171,106,367,358,169,104,367,358
10.5281/zenodo.5767451,2024-12-16,2985,1719,528,485,1523,622,358,326
10.5281/zenodo.6943413,2024-12-16,3037,1914,256,224,3026,1912,254,222
10.5281/zenodo.6778175,2024-12-16,31,29,163,162,31,29,163,162
10.5281/zenodo.3434396,2024-12-16,2898,1558,353,319,2898,1558,352,318
10.5281/zenodo.6943929,2024-12-16,1153,807,223,202,1153,807,223,202
10.5281/zenodo.14592,2024-12-16,269,169,303,280,269,169,303,280
10.5281/zenodo.3332778,2024-12-16,901,379,518,486,777,313,336,310
10.5281/zenodo.3483783,2024-12-16,100,60,206,198,100,60,206,198
10.5281/zenodo.6943929,2024-12-16,1153,807,223,202,1153,807,223,202
10.5281/zenodo.1118980,2024-12-16,2841,1144,271,239,2841,1144,268,236
10.5281/zenodo.6943413,2024-12-16,3037,1914,256,224,3026,1912,254,222
10.5281/zenodo.259341,2024-12-16,639,400,146,141,639,400,145,140
10.5281/zenodo.1009027,2024-12-16,1619,494,448,381,1618,493,445,378
10.5281/zenodo.2574689,2024-12-16,118,94,76,69,118,94,76,69
10.5281/zenodo.53222,2024-12-16,245,170,259,255,245,170,257,253
10.5281/zenodo.6943413,2024-12-16,3037,1914,256,224,3026,1912,254,222
10.5281/zenodo.32173,2024-12-16,302,203,305,296,302,203,300,291
10.5281/zenodo.14595,2024-12-16,165,129,269,261,165,129,269,261
10.5281/zenodo.1306800,2024-12-16,240,157,394,372,240,157,393,371
10.5281/zenodo.13853,2024-12-16,195,147,235,225,195,147,235,225
10.5281/zenodo.11044615,2024-12-16,37,22,24,20,37,22,24,20
10.5281/zenodo.8357170,2024-12-16,37,35,47,47,37,35,47,47
10.5281/zenodo.62026,2024-12-16,64,56,198,194,64,56,198,194
10.5281/zenodo.164206,2024-12-16,638,405,271,250,638,405,271,250
10.5281/zenodo.3243328,2024-12-16,947,533,624,614,647,285,431,423
10.5281/zenodo.3605386,2024-12-16,155,106,323,312,155,106,322,311
10.5281/zenodo.5767451,2024-12-16,2985,1719,528,485,1523,622,358,326
10.5281/zenodo.3434100,2024-12-16,500,153,294,284,500,153,293,283
10.5281/zenodo.12698832,2024-12-16,546,120,47,36,529,103,32,23
10.5281/zenodo.259392,2024-12-16,572,374,299,287,572,374,297,286
10.5281/zenodo.6334005,2024-12-16,95,71,264,262,95,71,263,261
10.5281/zenodo.6943086,2024-12-16,887,633,211,196,887,633,209,194
10.5281/zenodo.3335503,2024-12-16,5283,2404,1230,1169,2295,1185,604,553
10.5281/zenodo.2653735,2024-12-16,662,465,216,203,662,465,215,202
10.5281/zenodo.3540513,2024-12-16,848,404,293,283,848,404,293,283
10.5281/zenodo.1488094,2024-12-16,1503,700,411,392,1503,700,410,391
10.5281/zenodo.5767451,2024-12-16,2985,1719,528,485,1523,622,358,326
10.5281/zenodo.439080,2024-12-16,785,321,234,221,785,321,234,221
10.5281/zenodo.13498,2024-12-16,462,242,328,316,462,242,327,315
10.5281/zenodo.1009027,2024-12-16,1619,494,448,381,1618,493,445,378
10.5281/zenodo.3434396,2024-12-16,2898,1558,353,319,2898,1558,352,318
10.5281/zenodo.1493246,2024-12-16,131,81,160,151,131,81,160,151
10.5281/zenodo.1488102,2024-12-16,439,253,208,190,439,253,208,190
10.5281/zenodo.7604627,2024-12-16,179,108,425,405,46,43,88,82
10.5281/zenodo.8357123,2024-12-16,30,21,42,41,30,21,42,41
10.5281/zenodo.2562079,2024-12-16,267,174,537,517,182,120,254,245
10.5281/zenodo.3434396,2024-12-16,2898,1558,353,319,2898,1558,352,318
10.5281/zenodo.1129425,2024-12-16,168,101,370,359,168,101,368,357
10.5281/zenodo.2542151,2024-12-16,117,77,362,355,117,77,362,355
10.5281/zenodo.1487761,2024-12-16,1600,721,475,444,1600,721,474,443
10.5281/zenodo.7061800,2024-12-16,952,548,220,196,952,548,220,196
10.5281/zenodo.3237754,2024-12-16,88,77,78,72,88,77,78,72
10.5281/zenodo.8331752,2024-12-16,115,52,61,51,115,52,61,51
10.5281/zenodo.2653721,2024-12-16,1363,1068,153,141,1363,1068,153,141
10.5281/zenodo.3243328,2024-12-16,947,533,624,614,647,285,431,423
10.5281/zenodo.5767451,2024-12-16,2985,1719,528,485,1523,622,358,326
10.5281/zenodo.7103807,2024-12-16,512,336,194,174,512,336,194,174
10.5281/zenodo.3238258,2024-12-16,96,81,52,52,96,81,52,52
10.5281/zenodo.1118980,2024-12-16,2841,1144,271,239,2841,1144,268,236
10.5281/zenodo.164203,2024-12-16,366,218,189,178,366,218,188,177
10.5281/zenodo.8338253,2024-12-16,20,15,151,147,20,15,151,147
10.5281/zenodo.1293957,2024-12-16,147,91,145,141,147,91,145,141
10.5281/zenodo.3266240,2024-12-16,241,97,173,106,241,97,173,106
